data_idx,mapped_rxn,template
390,C1COCCO1.F[c:1]1[n:2][cH:3][cH:4][c:5]([N:6]([CH3:7])[c:8]2[cH:9][cH:10][n:11][c:12](-[c:13]3[cH:14][cH:15][cH:16][cH:17][cH:18]3)[n:19]2)[n:20]1.[NH2:21][CH2:22][CH2:23][c:24]1[cH:25][cH:26][cH:27][cH:28][c:29]1[Cl:30]>>[c:1]1([NH:21][CH2:22][CH2:23][c:24]2[cH:25][cH:26][cH:27][cH:28][c:29]2[Cl:30])[n:2][cH:3][cH:4][c:5]([N:6]([CH3:7])[c:8]2[cH:9][cH:10][n:11][c:12](-[c:13]3[cH:14][cH:15][cH:16][cH:17][cH:18]3)[n:19]2)[n:20]1,[N:1].F-[c:2]>>[N:1]-[c:2]
544,CN(C)C=O.I[CH3:1].O=C([O-])[O-].[CH3:2][c:3]1[cH:4][cH:5][cH:6][c:7]2[n:8][c:9]([CH2:10][S:11][c:12]3[n:13][c:14](-[c:15]4[cH:16][cH:17][cH:18][cH:19][cH:20]4)[n:21][nH:22]3)[n:23][n:24]12.[K+].[K+]>>[CH3:1][n:22]1[c:12]([S:11][CH2:10][c:9]2[n:8][c:7]3[cH:6][cH:5][cH:4][c:3]([CH3:2])[n:24]3[n:23]2)[n:13][c:14](-[c:15]2[cH:16][cH:17][cH:18][cH:19][cH:20]2)[n:21]1,[n:1].I-[C:2]>>[C:2]-[n:1]
602,ClCCl.O=[Mn]=O.[OH:1][CH2:2][C:3](=[C:4]([c:5]1[cH:6][cH:7][c:8]([F:9])[cH:10][cH:11]1)[c:12]1[cH:13][cH:14][c:15]([F:16])[cH:17][cH:18]1)[c:19]1[n:20][n:21][n:22]([C:23]([c:24]2[cH:25][cH:26][cH:27][cH:28][cH:29]2)([c:30]2[cH:31][cH:32][cH:33][cH:34][cH:35]2)[c:36]2[cH:37][cH:38][cH:39][cH:40][cH:41]2)[n:42]1>>[O:1]=[CH:2][C:3](=[C:4]([c:5]1[cH:6][cH:7][c:8]([F:9])[cH:10][cH:11]1)[c:12]1[cH:13][cH:14][c:15]([F:16])[cH:17][cH:18]1)[c:19]1[n:20][n:21][n:22]([C:23]([c:24]2[cH:25][cH:26][cH:27][cH:28][cH:29]2)([c:30]2[cH:31][cH:32][cH:33][cH:34][cH:35]2)[c:36]2[cH:37][cH:38][cH:39][cH:40][cH:41]2)[n:42]1,[C:1]-[O:2]>>[C:1]=[O:2]
630,CC(C)(C)OC(=O)[N:1]1[CH2:2][CH2:3][CH:4]2[CH:5]1[CH:6]([c:7]1[cH:8][nH:9][c:10]3[cH:11][c:12]([F:13])[cH:14][cH:15][c:16]13)[CH2:17][N:18]2[S:19]([CH3:20])(=[O:21])=[O:22].ClCCl.O=C(O)C(F)(F)F>>[NH:1]1[CH2:2][CH2:3][CH:4]2[CH:5]1[CH:6]([c:7]1[cH:8][nH:9][c:10]3[cH:11][c:12]([F:13])[cH:14][cH:15][c:16]13)[CH2:17][N:18]2[S:19]([CH3:20])(=[O:21])=[O:22],C-C(-C)(-C)-O-C(=O)-[N:1]>>[N:1]
1839,CC(C)(C)OC(=O)[N:1]1[CH2:2][CH2:3][N:4]([c:5]2[n:6][cH:7][c:8]([C:9]([F:10])([F:11])[F:12])[cH:13][c:14]2[F:15])[CH2:16][CH2:17]1.ClCCl.O=C(O)C(F)(F)F>>[NH:1]1[CH2:2][CH2:3][N:4]([c:5]2[n:6][cH:7][c:8]([C:9]([F:10])([F:11])[F:12])[cH:13][c:14]2[F:15])[CH2:16][CH2:17]1,C-C(-C)(-C)-O-C(=O)-[N:1]>>[N:1]
2462,CCN(CC)CC.ClCCl.[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][CH2:18][N:19]=[C:20]=[O:21].[O:22]=[C:23]([NH:24][CH2:25][CH2:26][N:27]1[CH2:28][CH2:29][CH2:30][CH2:31][CH2:32]1)[CH:33]1[CH2:34][CH:35]=[CH:36][CH2:37][CH:38]1[CH2:39][OH:40]>>[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][CH2:18][NH:19][C:20](=[O:21])[O:40][CH2:39][CH:38]1[CH:33]([C:23](=[O:22])[NH:24][CH2:25][CH2:26][N:27]2[CH2:28][CH2:29][CH2:30][CH2:31][CH2:32]2)[CH2:34][CH:35]=[CH:36][CH2:37]1,[O:1].[C:2]=[N:3]>>[N:3]-[C:2]-[O:1]
2486,B.CO.[CH3:1][c:2]1[cH:3][cH:4][cH:5][cH:6][c:7]1[C:8](=[O:9])[c:10]1[cH:11][n:12][cH:13][n:14][c:15]1[C:16]([CH3:17])([CH3:18])[CH3:19].[Na]>>[CH3:1][c:2]1[cH:3][cH:4][cH:5][cH:6][c:7]1[CH:8]([OH:9])[c:10]1[cH:11][n:12][cH:13][n:14][c:15]1[C:16]([CH3:17])([CH3:18])[CH3:19],[C:1]=[O:2]>>[C:1]-[O:2]
2695,Cc1ccc(S(=O)(=O)OCC2Cc3cccc(-c4cccc(F)c4)c3O2)cc1.[N-]=[N+]=NCC1Cc2cc(Cl)cc(-c3ccsc3)c2O1.[N-]=[N+]=[N-].[N-]=[N+]=[N-].[N-]=[N+]=[N:1][CH2:2][CH:3]1[CH2:4][c:5]2[cH:6][cH:7][cH:8][c:9](-[c:10]3[cH:11][cH:12][cH:13][c:14]([F:15])[cH:16]3)[c:17]2[O:18]1.[Na+].[Pd]>>[NH2:1][CH2:2][CH:3]1[CH2:4][c:5]2[cH:6][cH:7][cH:8][c:9](-[c:10]3[cH:11][cH:12][cH:13][c:14]([F:15])[cH:16]3)[c:17]2[O:18]1,[N-]=[N+]=[N:1]>>[N:1]
3059,CN(C)C=O.ClCCCl.ClCCl.O[C:1](=[O:2])[C@H:3]([CH2:4][CH2:5][C@H:6]([CH2:7][c:8]1[cH:9][cH:10][c:11]([F:12])[cH:13][cH:14]1)[C:15](=[O:16])[OH:17])[CH2:18][c:19]1[cH:20][cH:21][c:22]([F:23])[cH:24][cH:25]1.[NH2:26][C@H:27]1[CH2:28][CH2:29][CH2:30][CH2:31][N:32]([c:33]2[cH:34][cH:35][cH:36][cH:37][cH:38]2)[C:39]1=[O:40]>>[C:1](=[O:2])([C@H:3]([CH2:4][CH2:5][C@H:6]([CH2:7][c:8]1[cH:9][cH:10][c:11]([F:12])[cH:13][cH:14]1)[C:15](=[O:16])[OH:17])[CH2:18][c:19]1[cH:20][cH:21][c:22]([F:23])[cH:24][cH:25]1)[NH:26][C@H:27]1[CH2:28][CH2:29][CH2:30][CH2:31][N:32]([c:33]2[cH:34][cH:35][cH:36][cH:37][cH:38]2)[C:39]1=[O:40],[N:1].O-[C:2]=O>>[C:2]-[N:1]
3660,Cl.O[C:1](=[O:2])[c:3]1[cH:4][cH:5][c:6]([Br:7])[cH:8][c:9]1[F:10].[F:11][C:12]1([F:13])[CH2:14][NH:15][CH2:16]1>>[C:1](=[O:2])([c:3]1[cH:4][cH:5][c:6]([Br:7])[cH:8][c:9]1[F:10])[N:15]1[CH2:14][C:12]([F:11])([F:13])[CH2:16]1,[N:1].O-[C:2]=O>>[C:2]-[N:1]
3712,CC#N.CCN(C(C)C)C(C)C.Cl[c:1]1[n:2][cH:3][c:4]([N+:5](=[O:6])[O-:7])[cH:8][n:9]1.[CH2:10]1[CH2:11][O:12][CH2:13][CH2:14][NH:15]1>>[c:1]1([N:15]2[CH2:10][CH2:11][O:12][CH2:13][CH2:14]2)[n:2][cH:3][c:4]([N+:5](=[O:6])[O-:7])[cH:8][n:9]1,[N:1].Cl-[c:2]>>[N:1]-[c:2]
4545,CC(C)(C)OC(=O)[N:1]1[CH2:2][CH2:3][CH2:4][CH:5]([c:6]2[cH:7][c:8]([C:9](=[O:10])[N:11]3[CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17]3)[cH:18][s:19]2)[CH2:20]1.ClCCl.O=C(O)C(F)(F)F>>[NH:1]1[CH2:2][CH2:3][CH2:4][CH:5]([c:6]2[cH:7][c:8]([C:9](=[O:10])[N:11]3[CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17]3)[cH:18][s:19]2)[CH2:20]1,C-C(-C)(-C)-O-C(=O)-[N:1]>>[N:1]
