data_idx,mapped_rxn,template
379,Cc1ccccc1.Cl[C:1]([c:2]1[cH:3][c:4]2[cH:5][cH:6][c:7]([C:8]([O:9][CH3:10])=[O:11])[cH:12][c:13]2[cH:14][cH:15]1)=[O:16].Cl[Pd]Cl.O=C([O-])[O-].OB(O)[c:17]1[cH:18][c:19]([O:20][CH2:21][O:22][CH2:23][CH3:24])[c:25]2[c:26]([cH:27]1)[C:28]([CH3:29])([CH3:30])[CH2:31][CH2:32][C:33]2([CH3:34])[CH3:35].[Cs+].[Cs+]>>[C:1]([c:2]1[cH:3][c:4]2[cH:5][cH:6][c:7]([C:8]([O:9][CH3:10])=[O:11])[cH:12][c:13]2[cH:14][cH:15]1)(=[O:16])[c:17]1[cH:18][c:19]([O:20][CH2:21][O:22][CH2:23][CH3:24])[c:25]2[c:26]([cH:27]1)[C:28]([CH3:29])([CH3:30])[CH2:31][CH2:32][C:33]2([CH3:34])[CH3:35],Cl-[C:1].O-B(-O)-[c:2]>>[C:1]-[c:2]
677,C1CCOC1.[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[c:7]([CH2:8][c:9]3[c:10]([Cl:11])[cH:12][n:13][cH:14][c:15]3[Cl:16])[n:17][n:18][cH:19][c:20]2[c:21]1[C:22]#[C:23][c:24]1[cH:25][cH:26][cH:27][cH:28][cH:29]1.[Pd]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[c:7]([CH2:8][c:9]3[c:10]([Cl:11])[cH:12][n:13][cH:14][c:15]3[Cl:16])[n:17][n:18][cH:19][c:20]2[c:21]1[CH:22]=[CH:23][c:24]1[cH:25][cH:26][cH:27][cH:28][cH:29]1,[C:1]#[C:2]>>[C:1]=[C:2]
1081,CC(C)CCO[N+](=O)[O-].IC[I:1].N[c:2]1[s:3][cH:4][c:5]([C:6]([O:7][CH2:8][CH3:9])=[O:10])[n:11]1>>[I:1][c:2]1[s:3][cH:4][c:5]([C:6]([O:7][CH2:8][CH3:9])=[O:10])[n:11]1,N-[c:1].I-C-[I:2]>>[I:2]-[c:1]
1112,Br[c:1]1[cH:2][c:3]([Br:4])[c:5]2[c:6]3[c:7]1[N:8]([CH3:9])[CH2:10][CH:11]3[CH2:12][N:13]([C:14](=[O:15])[O:16][C:17]([CH3:18])([CH3:19])[CH3:20])[CH2:21][CH2:22]2.C1CCOC1.CCCCCC.I[CH3:23].O.[Li]C(C)(C)C>>[c:1]1([CH3:23])[cH:2][c:3]([Br:4])[c:5]2[c:6]3[c:7]1[N:8]([CH3:9])[CH2:10][CH:11]3[CH2:12][N:13]([C:14](=[O:15])[O:16][C:17]([CH3:18])([CH3:19])[CH3:20])[CH2:21][CH2:22]2,Br-[c:1].I-[C:2]>>[C:2]-[c:1]
1375,Cl[c:1]1[n:2][c:3]([Cl:4])[c:5]2[n:6][cH:7][n:8]([C@@H:9]3[O:10][C@H:11]([CH2:12][O:13][C:14]([CH3:15])=[O:16])[C@@H:17]([O:18][C:19]([CH3:20])=[O:21])[C@H:22]3[O:23][C:24]([CH3:25])=[O:26])[c:27]2[n:28]1.O.[Cu][C:29]#[N:30]>>[c:1]1([C:29]#[N:30])[n:2][c:3]([Cl:4])[c:5]2[n:6][cH:7][n:8]([C@@H:9]3[O:10][C@H:11]([CH2:12][O:13][C:14]([CH3:15])=[O:16])[C@@H:17]([O:18][C:19]([CH3:20])=[O:21])[C@H:22]3[O:23][C:24]([CH3:25])=[O:26])[c:27]2[n:28]1,Cl-[c:1].N#[C:2]-[Cu]>>[C:2]-[c:1]
1681,O.[Cl-].[N-:1]=[N+:2]=[N-:3].[N:4]#[C:5][CH2:6][c:7]1[cH:8][cH:9][c:10]2[o:11][cH:12][c:13](-[c:14]3[cH:15][cH:16][cH:17][cH:18][cH:19]3)[c:20]2[cH:21]1.[NH4+].[Na+]>>[n:1]1[n:2][nH:3][c:5]([CH2:6][c:7]2[cH:8][cH:9][c:10]3[o:11][cH:12][c:13](-[c:14]4[cH:15][cH:16][cH:17][cH:18][cH:19]4)[c:20]3[cH:21]2)[n:4]1,[C:1]#[N:2].[N:3]=[N:4]=[N:5]>>[c:1]1:[n:3]:[n:4]:[n:5]:[n:2]:1
2599,CCCCO.O=[C:1]([CH:2]1[CH2:3][CH2:4][N:5]([C:6]([CH3:7])=[O:8])[CH2:9][CH2:10]1)[c:11]1[cH:12][cH:13][c:14]([F:15])[cH:16][c:17]1F.[CH3:18][NH:19][NH2:20]>>[c:1]1([CH:2]2[CH2:3][CH2:4][N:5]([C:6]([CH3:7])=[O:8])[CH2:9][CH2:10]2)[c:11]2[cH:12][cH:13][c:14]([F:15])[cH:16][c:17]2[n:19]([CH3:18])[n:20]1,F-[c:1].O=[C:2].[N:3]-[N:4]>>[c:1]:[n:3]:[n:4]:[c:2]
2722,CN(C)C=O.I[c:1]1[cH:2][c:3]([F:4])[cH:5][c:6]([C:7]([O:8][CH3:9])=[O:10])[c:11]1-[c:12]1[c:13](I)[cH:14][c:15]([F:16])[cH:17][c:18]1[C:19](=[O:20])[O:21][CH3:22].[Cu]>>[c:1]12[cH:2][c:3]([F:4])[cH:5][c:6]([C:7]([O:8][CH3:9])=[O:10])[c:11]1-[c:12]1[c:13]-2[cH:14][c:15]([F:16])[cH:17][c:18]1[C:19](=[O:20])[O:21][CH3:22],I-[c:1].I-[c:2]>>[c:1]-[c:2]
2767,CN(C)C=O.CS(=O)(=O)O[CH:1]([CH2:2][NH:3][S:4](=[O:5])(=[O:6])[c:7]1[cH:8][cH:9][c:10]([O:11][C:12]([F:13])([F:14])[F:15])[cH:16][cH:17]1)[CH2:18][N:19]1[c:20]2[cH:21][cH:22][cH:23][cH:24][c:25]2[CH2:26][CH2:27][c:28]2[cH:29][cH:30][cH:31][cH:32][c:33]21.[C-:34]#[N:35].[Na+]>>[CH:1]([CH2:2][NH:3][S:4](=[O:5])(=[O:6])[c:7]1[cH:8][cH:9][c:10]([O:11][C:12]([F:13])([F:14])[F:15])[cH:16][cH:17]1)([CH2:18][N:19]1[c:20]2[cH:21][cH:22][cH:23][cH:24][c:25]2[CH2:26][CH2:27][c:28]2[cH:29][cH:30][cH:31][cH:32][c:33]21)[C:34]#[N:35],N#[C:1].C-S(=O)(=O)-O-[C:2]>>[C:1]-[C:2]
2961,CC(C)=O.CO.O.O=C([O-])[O-].O=S([O-])O[OH:1].[CH3:2][O:3][c:4]1[cH:5][c:6]2[c:7]([c:8]([O:9][CH3:10])[cH:11]1)[c:12](=[O:13])[nH:14][c:15](-[c:16]1[cH:17][cH:18][c:19]([O:20][CH2:21][CH2:22][NH:23][CH:24]([CH3:25])[CH3:26])[c:27](-[c:28]3[cH:29][cH:30][c:31]([S:32][CH3:33])[cH:34][cH:35]3)[n:36]1)[n:37]2.[K+].[Na+].[Na+]>>[O:1]=[S:32]([c:31]1[cH:30][cH:29][c:28](-[c:27]2[c:19]([O:20][CH2:21][CH2:22][NH:23][CH:24]([CH3:25])[CH3:26])[cH:18][cH:17][c:16](-[c:15]3[nH:14][c:12](=[O:13])[c:7]4[c:6]([cH:5][c:4]([O:3][CH3:2])[cH:11][c:8]4[O:9][CH3:10])[n:37]3)[n:36]2)[cH:35][cH:34]1)[CH3:33],[S:1].O=S(-[O-])-O-[O:2]>>[O:2]=[S:1]
3176,CO.Cl.O=[Pt].[CH3:1][O:2][c:3]1[cH:4][c:5](-[c:6]2[cH:7][cH:8][cH:9][n:10][cH:11]2)[cH:12][cH:13][c:14]1[F:15]>>[CH3:1][O:2][c:3]1[cH:4][c:5]([CH:6]2[CH2:7][CH2:8][CH2:9][NH:10][CH2:11]2)[cH:12][cH:13][c:14]1[F:15],[c:1]1:[c:2]:[c:3]:[c:4]:[c:5]:[n:6]:1>>[C:1]1-[C:2]-[C:3]-[C:4]-[C:5]-[N:6]-1
3210,[CH3:1][O:2][CH:3]1[CH2:4][CH2:5][CH:6]([CH2:7][CH2:8][N:9]=[C:10]=[O:11])[CH2:12][CH:13]1[O:14][CH3:15].[O:16]=[c:17]1[nH:18][cH:19][c:20]([F:21])[c:22](=[O:23])[nH:24]1.c1ccncc1>>[CH3:1][O:2][CH:3]1[CH2:4][CH2:5][CH:6]([CH2:7][CH2:8][NH:9][C:10](=[O:11])[n:18]2[c:17](=[O:16])[nH:24][c:22](=[O:23])[c:20]([F:21])[cH:19]2)[CH2:12][CH:13]1[O:14][CH3:15],[n:1].[C:2]=[N:3]>>[N:3]-[C:2]-[n:1]
3468,CC(C)(C)OC(=O)[CH:1]([C:2]([c:3]1[c:4]([Cl:5])[cH:6][cH:7][c:8]([C:9]([O:10][CH3:11])=[O:12])[c:13]1[Cl:14])=[O:15])[C:16]([CH3:17])=[O:18].CCOC(C)=O.Cc1ccc(S(=O)(=O)O)cc1.Cc1ccccc1.O>>[CH2:1]([C:2]([c:3]1[c:4]([Cl:5])[cH:6][cH:7][c:8]([C:9]([O:10][CH3:11])=[O:12])[c:13]1[Cl:14])=[O:15])[C:16]([CH3:17])=[O:18],C-C(-C)(-C)-O-C(=O)-[C:1](-C=O)-C=O>>[C:1]
3558,CCO.[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[c:7]([c:8]1[C:9]#[C:10][CH2:11][N:12]1[CH2:13][CH2:14][N:15]([C:16](=[O:17])[O:18][C:19]([CH3:20])([CH3:21])[CH3:22])[CH2:23][CH2:24]1)[O:25][CH2:26][C:27]2=[O:28].[Pd]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[c:7]([c:8]1[CH2:9][CH2:10][CH2:11][N:12]1[CH2:13][CH2:14][N:15]([C:16](=[O:17])[O:18][C:19]([CH3:20])([CH3:21])[CH3:22])[CH2:23][CH2:24]1)[O:25][CH2:26][C:27]2=[O:28],[C:1]#[C:2]>>[C:1]-[C:2]
3786,C1CCOC1.Cl.O=[C:1]([OH:2])[c:3]1[cH:4][cH:5][c:6]2[cH:7][c:8](-[c:9]3[cH:10][cH:11][cH:12][cH:13][cH:14]3)[nH:15][c:16]2[cH:17]1.[Al+3].[H-].[H-].[H-].[H-].[Li+]>>[CH2:1]([OH:2])[c:3]1[cH:4][cH:5][c:6]2[cH:7][c:8](-[c:9]3[cH:10][cH:11][cH:12][cH:13][cH:14]3)[nH:15][c:16]2[cH:17]1,O-[C:1]=O>>[C:1]
3822,CO.O=[C:1]([CH2:2][C:3]([O:4][CH3:5])=[O:6])[CH2:7]Cl.[CH3:8][CH2:9][c:10]1[cH:11][c:12]([C:13]([NH2:14])=[S:15])[cH:16][cH:17][n:18]1>>[c:1]1([CH2:2][C:3]([O:4][CH3:5])=[O:6])[cH:7][s:15][c:13](-[c:12]2[cH:11][c:10]([CH2:9][CH3:8])[n:18][cH:17][cH:16]2)[n:14]1,Cl-[C:1]-[C:2]=O.[N:3]-[C:4]=[S:5]>>[c:4]1:[n:3]:[c:2]:[c:1]:[s:5]:1
3875,C1CCOC1.C[Si](C)(C)[N-][Si](C)(C)C.F[S:1](=[O:2])(=[O:3])[c:4]1[cH:5][cH:6][c:7]([S:8][C:9]([F:10])([F:11])[F:12])[cH:13][cH:14]1.[CH3:15][CH2:16][CH2:17][N:18]1[CH2:19][CH2:20][C@@H:21]([c:22]2[cH:23][cH:24][c:25]([NH2:26])[cH:27][cH:28]2)[CH2:29]1.[K+]>>[S:1](=[O:2])(=[O:3])([c:4]1[cH:5][cH:6][c:7]([S:8][C:9]([F:10])([F:11])[F:12])[cH:13][cH:14]1)[NH:26][c:25]1[cH:24][cH:23][c:22]([C@@H:21]2[CH2:20][CH2:19][N:18]([CH2:17][CH2:16][CH3:15])[CH2:29]2)[cH:28][cH:27]1,[N:1].F-[S:2]>>[N:1]-[S:2]
4357,C1CCC([O:1][c:2]2[cH:3][cH:4][c:5]([C:6]([O:7][CH3:8])=[O:9])[cH:10][c:11]2[C:12]2=[CH:13][CH2:14][CH2:15][C:16]2([CH3:17])[CH3:18])OC1.CO.Cc1ccc(S(=O)(=O)[O-])cc1.c1cc[nH+]cc1>>[OH:1][c:2]1[cH:3][cH:4][c:5]([C:6]([O:7][CH3:8])=[O:9])[cH:10][c:11]1[C:12]1=[CH:13][CH2:14][CH2:15][C:16]1([CH3:17])[CH3:18],c-[O:1]-C1-C-C-C-C-O-1>>[O:1]
4567,Br[c:1]1[cH:2][cH:3][c:4]([C:5]([O:6][CH3:7])=[O:8])[cH:9][cH:10]1.C1CCOC1.Cl[Pd]Cl.[Br-].[Br-].[Br-].[Fe+2].[Mg+][CH:11]1[CH2:12][CH2:13]1.[Zn+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1>>[c:1]1([CH:11]2[CH2:12][CH2:13]2)[cH:2][cH:3][c:4]([C:5]([O:6][CH3:7])=[O:8])[cH:9][cH:10]1,Br-[c:1].[C:2]-[Mg+]>>[C:2]-[c:1]
4674,C1COCCO1.ClCCl.Cl[Pd]Cl.I[c:1]1[c:2](=[O:3])[n:4]([CH2:5][CH:6]2[CH2:7][CH2:8]2)[cH:9][cH:10][c:11]1[O:12][CH2:13][c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1.O=C([O-])O.O=C([O-])[O-].OB(O)[CH:20]1[CH2:21][CH2:22]1.[Fe+2].[K+].[K+].[Na+].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1>>[c:1]1([CH:20]2[CH2:21][CH2:22]2)[c:2](=[O:3])[n:4]([CH2:5][CH:6]2[CH2:7][CH2:8]2)[cH:9][cH:10][c:11]1[O:12][CH2:13][c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1,I-[c:1].O-B(-O)-[C:2]>>[C:2]-[c:1]
