data_idx,mapped_rxn,template
521,C1CCOC1.Cl[C:1](=[O:2])[CH:3]1[CH2:4][CH2:5]1.I[c:6]1[c:7]([C:8]#[N:9])[n:10][n:11](-[c:12]2[c:13]([Cl:14])[cH:15][c:16]([C:17]([F:18])([F:19])[F:20])[cH:21][c:22]2[Cl:23])[cH:24]1.O=C([O-])O.[Li]CCCC.[Na+]>>[C:1](=[O:2])([CH:3]1[CH2:4][CH2:5]1)[c:6]1[c:7]([C:8]#[N:9])[n:10][n:11](-[c:12]2[c:13]([Cl:14])[cH:15][c:16]([C:17]([F:18])([F:19])[F:20])[cH:21][c:22]2[Cl:23])[cH:24]1,I-[c:2].Cl-[C:1]=O>>O=[C:1]-[c:2]
667,Br[c:1]1[cH:2][cH:3][c:4]([CH:5]2[N:6]([C:7](=[O:8])[O:9][CH2:10][c:11]3[cH:12][cH:13][cH:14][cH:15][cH:16]3)[CH2:17][CH2:18][CH2:19]2)[cH:20][cH:21]1.CC1(C)OB([c:22]2[cH:23][cH:24][c:25]([NH:26][C:27](=[O:28])[CH:29]3[CH2:30][CH2:31]3)[cH:32][cH:33]2)OC1(C)C.CN(C)C=O.CO.O=C([O-])O.[Na+]>>[c:1]1(-[c:22]2[cH:23][cH:24][c:25]([NH:26][C:27](=[O:28])[CH:29]3[CH2:30][CH2:31]3)[cH:32][cH:33]2)[cH:2][cH:3][c:4]([CH:5]2[N:6]([C:7](=[O:8])[O:9][CH2:10][c:11]3[cH:12][cH:13][cH:14][cH:15][cH:16]3)[CH2:17][CH2:18][CH2:19]2)[cH:20][cH:21]1,Br-[c:1].C-C1(-C)-O-B(-[c:2])-O-C-1(-C)-C>>[c:1]-[c:2]
822,Br[C:1]1=[CH:2][CH:3]2[CH:4]([C:5]([O:6][CH3:7])=[O:8])[CH2:9][CH:10]1[C:11](=[O:12])[CH:13]([C:14](=[O:15])[c:16]1[cH:17][cH:18][c:19]([CH:20]([F:21])[F:22])[n:23][c:24]1[CH3:25])[C:26]2=[O:27].CN(C)C#N.C[Si](C)(C)[SiH]([Si](C)(C)C)[Si](C)(C)C.Cc1ccccc1>>[CH:1]1=[CH:2][CH:3]2[CH:4]([C:5]([O:6][CH3:7])=[O:8])[CH2:9][CH:10]1[C:11](=[O:12])[CH:13]([C:14](=[O:15])[c:16]1[cH:17][cH:18][c:19]([CH:20]([F:21])[F:22])[n:23][c:24]1[CH3:25])[C:26]2=[O:27],Br-[C:1]=C>>C=[C:1]
911,COCC1CCCCN1c1ncnc(Nc2cccc(CS(N)(=O)=O)c2)n1.Cl[c:1]1[n:2][cH:3][n:4][c:5]([NH:6][c:7]2[cH:8][cH:9][cH:10][c:11]([CH2:12][S:13]([NH2:14])(=[O:15])=[O:16])[cH:17]2)[n:18]1.[NH2:19][C:20](=[O:21])[C@H:22]1[CH2:23][CH2:24][CH2:25][NH:26]1>>[c:1]1([N:26]2[C@@H:22]([C:20]([NH2:19])=[O:21])[CH2:23][CH2:24][CH2:25]2)[n:2][cH:3][n:4][c:5]([NH:6][c:7]2[cH:8][cH:9][cH:10][c:11]([CH2:12][S:13]([NH2:14])(=[O:15])=[O:16])[cH:17]2)[n:18]1,[N:1].Cl-[c:2]>>[N:1]-[c:2]
1093,Br[CH2:1][c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1.CC(C)=O.CN(C)C=O.O=C([O-])[O-].[CH3:8][CH:9]([CH3:10])[c:11]1[c:12]([C:13](=[O:14])[NH:15][CH2:16][c:17]2[cH:18][cH:19][c:20]([F:21])[c:22]([F:23])[cH:24]2)[c:25]2[cH:26][cH:27][c:28]([OH:29])[cH:30][c:31]2[n:32]1[CH2:33][c:34]1[cH:35][cH:36][cH:37][cH:38][cH:39]1.[I-].[K+].[K+].[Na+]>>[CH2:1]([c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1)[O:29][c:28]1[cH:27][cH:26][c:25]2[c:12]([C:13](=[O:14])[NH:15][CH2:16][c:17]3[cH:18][cH:19][c:20]([F:21])[c:22]([F:23])[cH:24]3)[c:11]([CH:9]([CH3:8])[CH3:10])[n:32]([CH2:33][c:34]3[cH:35][cH:36][cH:37][cH:38][cH:39]3)[c:31]2[cH:30]1,[O:2]-c.Br-[C:1]>>[C:1]-[O:2]-c
1231,Br[c:1]1[cH:2][cH:3][cH:4][c:5]2[c:6]1[O:7][CH:8]([CH2:9][O:10][S:11]([c:12]1[cH:13][cH:14][c:15]([CH3:16])[cH:17][cH:18]1)(=[O:19])=[O:20])[CH2:21]2.Cc1ccc(S(=O)(=O)OCC2Cc3c(cccc3-c3ccccc3)O2)cc1.Cc1ccccc1P(c1ccccc1C)c1ccccc1C.Cc1ccccc1P(c1ccccc1C)c1ccccc1C.Cl[Pd]Cl.O=C([O-])[O-].OB(O)[c:22]1[cH:23][cH:24][c:25]([F:26])[cH:27][cH:28]1.[K+].[K+]>>[c:1]1(-[c:22]2[cH:23][cH:24][c:25]([F:26])[cH:27][cH:28]2)[cH:2][cH:3][cH:4][c:5]2[c:6]1[O:7][CH:8]([CH2:9][O:10][S:11]([c:12]1[cH:13][cH:14][c:15]([CH3:16])[cH:17][cH:18]1)(=[O:19])=[O:20])[CH2:21]2,Br-[c:1].O-B(-O)-[c:2]>>[c:1]-[c:2]
1556,I[c:1]1[cH:2][cH:3][c:4]([CH2:5][c:6]2[n:7](-[c:8]3[cH:9][cH:10][cH:11][c:12]([N:13]4[CH2:14][C:15](=[O:16])[NH:17][S:18]4(=[O:19])=[O:20])[cH:21]3)[cH:22][c:23](-[c:24]3[cH:25][cH:26][c:27]([Cl:28])[cH:29][c:30]3[Cl:31])[n:32]2)[cH:33][cH:34]1.OB(O)[c:35]1[cH:36][cH:37][c:38]([Br:39])[cH:40][cH:41]1>>[c:1]1(-[c:35]2[cH:36][cH:37][c:38]([Br:39])[cH:40][cH:41]2)[cH:2][cH:3][c:4]([CH2:5][c:6]2[n:7](-[c:8]3[cH:9][cH:10][cH:11][c:12]([N:13]4[CH2:14][C:15](=[O:16])[NH:17][S:18]4(=[O:19])=[O:20])[cH:21]3)[cH:22][c:23](-[c:24]3[cH:25][cH:26][c:27]([Cl:28])[cH:29][c:30]3[Cl:31])[n:32]2)[cH:33][cH:34]1,I-[c:1].O-B(-O)-[c:2]>>[c:1]-[c:2]
1564,C1COCCO1.Cl.O.O=[C:1]([CH2:2][CH3:3])[CH2:4][CH2:5][N:6]1[CH2:7][CH2:8][N:9]([CH3:10])[CH2:11][CH2:12]1.[CH3:13][O:14][c:15]1[cH:16][cH:17][c:18]([CH2:19][CH2:20][OH:21])[cH:22][c:23]1[O:24][CH3:25]>>[C:1]1([CH2:2][CH3:3])([CH2:4][CH2:5][N:6]2[CH2:7][CH2:8][N:9]([CH3:10])[CH2:11][CH2:12]2)[c:17]2[cH:16][c:15]([O:14][CH3:13])[c:23]([O:24][CH3:25])[cH:22][c:18]2[CH2:19][CH2:20][O:21]1,[O:1].[c:3].O=[C:2]>>[O:1]-[C:2]-[c:3]
1770,Br.CC(=O)O.CC(C)(C)[O:1][C:2](=[O:3])[CH2:4][O:5][c:6]1[cH:7][c:8]2[c:9]3[c:10]([cH:11]1)[c:12]1[cH:13][cH:14][c:15]([Br:16])[cH:17][c:18]1[n:19]3[cH:20][c:21]([CH2:22][c:23]1[cH:24][cH:25][cH:26][n:27][cH:28]1)[c:29]2=[O:30].O=C([O-])O.[Na+]>>[OH:1][C:2](=[O:3])[CH2:4][O:5][c:6]1[cH:7][c:8]2[c:9]3[c:10]([cH:11]1)[c:12]1[cH:13][cH:14][c:15]([Br:16])[cH:17][c:18]1[n:19]3[cH:20][c:21]([CH2:22][c:23]1[cH:24][cH:25][cH:26][n:27][cH:28]1)[c:29]2=[O:30],C-C(-C)(-C)-[O:1]-C=O>>O=C-[O:1]
1785,Br[c:1]1[cH:2][n:3][c:4]([NH:5][c:6]2[cH:7][cH:8][c:9]3[c:10]([cH:11]2)[O:12][CH2:13][CH2:14][O:15]3)[n:16][c:17]1[NH:18][c:19]1[cH:20][cH:21][c:22]2[c:23]([cH:24]1)[O:25][CH2:26][CH2:27][O:28]2.OB(O)[c:29]1[cH:30][cH:31][cH:32][c:33]([Cl:34])[cH:35]1.c1ccc(-c2cnc(Nc3ccc4c(c3)OCCO4)nc2Nc2ccc3c(c2)OCCO3)cc1>>[c:1]1(-[c:29]2[cH:30][cH:31][cH:32][c:33]([Cl:34])[cH:35]2)[cH:2][n:3][c:4]([NH:5][c:6]2[cH:7][cH:8][c:9]3[c:10]([cH:11]2)[O:12][CH2:13][CH2:14][O:15]3)[n:16][c:17]1[NH:18][c:19]1[cH:20][cH:21][c:22]2[c:23]([cH:24]1)[O:25][CH2:26][CH2:27][O:28]2,Br-[c:1].O-B(-O)-[c:2]>>[c:1]-[c:2]
