data_idx,mapped_rxn,template
74,CC(=O)[O:1][C@@H:2]1[CH2:3][C:4]2=[CH:5][CH2:6][C@H:7]3[C@@H:8]4[CH2:9][C@@H:10]([OH:11])[C@H:12]([NH:13][CH3:14])[C@@:15]4([CH3:16])[CH2:17][CH2:18][C@@H:19]3[C@@:20]2([CH3:21])[CH2:22][CH2:23]1.CCO.O.[Na+].[OH-]>>[OH:1][C@@H:2]1[CH2:3][C:4]2=[CH:5][CH2:6][C@H:7]3[C@@H:8]4[CH2:9][C@@H:10]([OH:11])[C@H:12]([NH:13][CH3:14])[C@@:15]4([CH3:16])[CH2:17][CH2:18][C@@H:19]3[C@@:20]2([CH3:21])[CH2:22][CH2:23]1,C-C(=O)-[O:1]>>[O:1]
89,CC(=O)O[BH-](OC(C)=O)OC(C)=O.ClCCl.O=[CH2:1].[Na+].[O:2]=[C:3]1[CH2:4][NH:5][CH2:6][CH2:7][N:8]1[c:9]1[cH:10][cH:11][cH:12][c:13]([N+:14](=[O:15])[O-:16])[cH:17]1>>[CH3:1][N:5]1[CH2:4][C:3](=[O:2])[N:8]([c:9]2[cH:10][cH:11][cH:12][c:13]([N+:14](=[O:15])[O-:16])[cH:17]2)[CH2:7][CH2:6]1,[N:1].O=[C:2]>>[N:1]-[C:2]
339,CCO.[CH3:1][N:2]([CH3:3])[CH3:4].[CH3:5][O:6][C:7](=[O:8])[C:9]1=[C:10]([CH3:11])[N:12]([c:13]2[cH:14][cH:15][cH:16][c:17]([C:18]([F:19])([F:20])[F:21])[cH:22]2)[c:23]2[n:24][n:25]([CH2:26][c:27]3[cH:28][cH:29][c:30]([CH2:31][Br:32])[cH:33][cH:34]3)[c:35](=[O:36])[n:37]2[CH:38]1[c:39]1[cH:40][cH:41][c:42]([C:43]#[N:44])[cH:45][cH:46]1>>[Br-:32].[CH3:1][N+:2]([CH3:3])([CH3:4])[CH2:31][c:30]1[cH:29][cH:28][c:27]([CH2:26][n:25]2[n:24][c:23]3[n:37]([c:35]2=[O:36])[CH:38]([c:39]2[cH:40][cH:41][c:42]([C:43]#[N:44])[cH:45][cH:46]2)[C:9]([C:7]([O:6][CH3:5])=[O:8])=[C:10]([CH3:11])[N:12]3[c:13]2[cH:14][cH:15][cH:16][c:17]([C:18]([F:19])([F:20])[F:21])[cH:22]2)[cH:34][cH:33]1,[N:1].Br-[C:2]>>[N:1]-[C:2]
387,Br[CH2:1][CH3:2].CN(C)C=O.O=C([O-])[O-].[CH3:3][O:4][C:5](=[O:6])[c:7]1[cH:8][cH:9][c:10](-[c:11]2[n:12][c:13](-[c:14]3[cH:15][n:16][nH:17][cH:18]3)[cH:19][n:20][c:21]2[NH2:22])[cH:23][c:24]1[F:25].[K+].[K+]>>[CH2:1]([CH3:2])[n:17]1[n:16][cH:15][c:14](-[c:13]2[n:12][c:11](-[c:10]3[cH:9][cH:8][c:7]([C:5]([O:4][CH3:3])=[O:6])[c:24]([F:25])[cH:23]3)[c:21]([NH2:22])[n:20][cH:19]2)[cH:18]1,[n:1].Br-[C:2]>>[n:1]-[C:2]
509,C1CCOC1.O.O=[CH:1][c:2]1[cH:3][cH:4][c:5]([O:6][CH2:7][c:8]2[cH:9][cH:10][cH:11][cH:12][cH:13]2)[cH:14][cH:15]1.[Br-].[Na].c1ccc([P+](c2ccccc2)(c2ccccc2)[CH2:16][CH2:17][CH2:18][OH:19])cc1>>[CH:1]([c:2]1[cH:3][cH:4][c:5]([O:6][CH2:7][c:8]2[cH:9][cH:10][cH:11][cH:12][cH:13]2)[cH:14][cH:15]1)=[CH:16][CH2:17][CH2:18][OH:19],O=[C:1].[C:2]-[P+](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1>>[C:1]=[C:2]
551,CC(=O)O.O=[CH2:1].[CH3:2][NH:3][CH3:4].[O:5]=[C:6]1[c:7]2[cH:8][cH:9][cH:10][cH:11][c:12]2[S:13](=[O:14])(=[O:15])[c:16]2[cH:17][c:18]([C:19](=[O:20])[N:21]3[CH2:22][CH2:23][c:24]4[cH:25][cH:26][o:27][c:28]4[CH2:29]3)[cH:30][cH:31][c:32]21>>[CH2:1]([N:3]([CH3:2])[CH3:4])[c:26]1[cH:25][c:24]2[c:28]([o:27]1)[CH2:29][N:21]([C:19]([c:18]1[cH:17][c:16]3[c:32]([cH:31][cH:30]1)[C:6](=[O:5])[c:7]1[cH:8][cH:9][cH:10][cH:11][c:12]1[S:13]3(=[O:14])=[O:15])=[O:20])[CH2:22][CH2:23]2,[N:1].[c:3].O=[C:2]>>[N:1]-[C:2]-[c:3]
626,C1CCOC1.CCCCCC.CCOC(C)=O.CO.[BH4-].[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([F:7])[cH:8][c:9]1[C:10]1([CH2:11][C:12]([OH:13])([CH:14]=[N:15][c:16]2[cH:17][cH:18][cH:19][c:20]3[n:21][cH:22][cH:23][cH:24][c:25]23)[C:26]([F:27])([F:28])[F:29])[CH2:30][CH2:31]1.[Na+]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([F:7])[cH:8][c:9]1[C:10]1([CH2:11][C:12]([OH:13])([CH2:14][NH:15][c:16]2[cH:17][cH:18][cH:19][c:20]3[n:21][cH:22][cH:23][cH:24][c:25]23)[C:26]([F:27])([F:28])[F:29])[CH2:30][CH2:31]1,[C:1]=[N:2]>>[C:1]-[N:2]
1298,Br[CH:1]1[O:2][C:3](=[O:4])[c:5]2[c:6]1[cH:7][cH:8][cH:9][cH:10]2.CN(C)C=O.[CH3:11][CH:12]([CH3:13])[CH2:14][c:15]1[cH:16][cH:17][c:18]([CH:19]([CH3:20])[C:21](=[O:22])[O-:23])[cH:24][cH:25]1.[K+]>>[CH:1]1([O:23][C:21]([CH:19]([c:18]2[cH:17][cH:16][c:15]([CH2:14][CH:12]([CH3:11])[CH3:13])[cH:25][cH:24]2)[CH3:20])=[O:22])[O:2][C:3](=[O:4])[c:5]2[c:6]1[cH:7][cH:8][cH:9][cH:10]2,Br-[C:2].O=C-[O:1]>>O=C-[O:1]-[C:2]
2694,CC(C)(C)[O:1][C:2]([CH2:3][n:4]1[c:5](-[c:6]2[cH:7][cH:8][cH:9][c:10]([O:11][CH3:12])[cH:13]2)[n:14][c:15]2[n:16][cH:17][c:18](-[c:19]3[cH:20][cH:21][cH:22][cH:23][cH:24]3)[cH:25][c:26]12)=[O:27].CCOC(C)=O.Cl.O>>[OH:1][C:2]([CH2:3][n:4]1[c:5](-[c:6]2[cH:7][cH:8][cH:9][c:10]([O:11][CH3:12])[cH:13]2)[n:14][c:15]2[n:16][cH:17][c:18](-[c:19]3[cH:20][cH:21][cH:22][cH:23][cH:24]3)[cH:25][c:26]12)=[O:27],C-C(-C)(-C)-[O:1]-C=O>>O=C-[O:1]
2867,ClCCl.O=C(O[OH:1])c1cccc(Cl)c1.O=C([O-])O.O=S([O-])([O-])=S.[CH3:2][c:3]1[n:4][c:5]([Br:6])[cH:7][cH:8][c:9]1[F:10].[Na+].[Na+].[Na+]>>[O-:1][n+:4]1[c:3]([CH3:2])[c:9]([F:10])[cH:8][cH:7][c:5]1[Br:6],[n:1].Cl-c1:c:c:c:c(-C(=O)-O-[O:2]):c:1>>[n:1]-[O:2]
2954,C1=CCCCC1.CCO.[OH-].[OH-].[Pd+2].c1ccc(C[n:1]2[n:2][cH:3][c:4](-[c:5]3[c:6](-[c:7]4[cH:8][cH:9][cH:10][cH:11][cH:12]4)[c:13](-[c:14]4[cH:15][cH:16][c:17]([OH:18])[cH:19][cH:20]4)[cH:21][c:22]([CH2:23][CH2:24][CH3:25])[cH:26]3)[cH:27]2)cc1>>[nH:1]1[n:2][cH:3][c:4](-[c:5]2[c:6](-[c:7]3[cH:8][cH:9][cH:10][cH:11][cH:12]3)[c:13](-[c:14]3[cH:15][cH:16][c:17]([OH:18])[cH:19][cH:20]3)[cH:21][c:22]([CH2:23][CH2:24][CH3:25])[cH:26]2)[cH:27]1,[n:1]-C-c1:c:c:c:c:c:1>>[n:1]
