data_idx,mapped_rxn,template
1085,CCCCON=O.N[c:5]1[cH:4][cH:3][c:2]([F:1])[cH:14][c:12]1[F:13].[cH:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1>>[F:1][c:2]1[cH:3][cH:4][c:5](-[c:6]2[cH:7][cH:8][cH:9][cH:10][cH:11]2)[c:12]([F:13])[cH:14]1,[c:1].N-[c:2]>>[c:1]-[c:2]
1694,CO.C[O-].O=[CH:12][c:13]1[cH:14][cH:15][cH:16][cH:17][cH:18]1.[CH3:1][c:2]1[cH:3][cH:4][cH:5][n:6]2[c:7](=[O:8])[cH:9][c:10]([CH3:11])[n:19][c:20]12.[Na+]>>[CH3:1][c:2]1[cH:3][cH:4][cH:5][n:6]2[c:7](=[O:8])[cH:9][c:10](/[CH:11]=[CH:12]/[c:13]3[cH:14][cH:15][cH:16][cH:17][cH:18]3)[n:19][c:20]12,[C:2]-c.O=[C:1]>>[C:1]=[C:2]/c
4410,CCO.CCOCC.CCO[C:4]([O:3][CH2:2][CH3:1])=[O:5].[CH3:6][C:7](=[O:8])[CH2:9][CH2:10][CH2:11][C:12]1([CH3:13])[O:14][CH2:15][CH2:16][O:17]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH2:6][C:7](=[O:8])[CH2:9][CH2:10][CH2:11][C:12]1([CH3:13])[O:14][CH2:15][CH2:16][O:17]1,O=C-[C:2].C-C-O-[C:1](-O)=O>>O-[C:1](=O)-[C:2]-C=O
4607,CCO.CCO[C:2]([NH2:1])=[CH:3][C:4](OCC)=[O:5].Cc1ccc(S(=O)(=O)O)cc1.[NH:6]([CH2:7][c:8]1[cH:9][cH:10][cH:11][cH:12][c:13]1[N+:14](=[O:15])[O-:16])[NH2:17]>>[NH2:1][c:2]1[cH:3][c:4](=[O:5])[n:6]([CH2:7][c:8]2[cH:9][cH:10][cH:11][cH:12][c:13]2[N+:14](=[O:15])[O-:16])[nH:17]1,[N:4]-[N:5].C-C-O-[C:3]=[C:2]-[C:1](=O)-O-C-C>>O=[c:1]1:[c:2]:[c:3]:[n:4]:[n:5]:1
6370,CCO.NN.O.O=C1c2ccccc2C(=O)[N:26]1[CH2:27][c:10]1[n:9][n:8][c:7]([CH2:6][N:3]([CH2:2][CH3:1])[CH2:4][CH3:5])[n:11]1-[c:12]1[cH:13][cH:14][c:15]([Cl:16])[cH:17][c:18]1[C:19](=O)[c:20]1[cH:21][cH:22][cH:23][cH:24][cH:25]1>>[CH3:1][CH2:2][N:3]([CH2:4][CH3:5])[CH2:6][c:7]1[n:8][n:9][c:10]2[n:11]1-[c:12]1[cH:13][cH:14][c:15]([Cl:16])[cH:17][c:18]1[C:19]([c:20]1[cH:21][cH:22][cH:23][cH:24][cH:25]1)=[N:26][CH2:27]2,O=[C:1].O=C1-[N:2]-C(=O)-c2:c:c:c:c:c:2-1>>[C:1]=[N:2]
8032,CCO[C:9](=[O:10])[CH:11]1[C:12](=O)[CH2:15][CH2:16][CH2:17]1.Cc1ccc(S(=O)(=O)O)cc1.[O:1]=[C:2]([OH:3])[c:4]1[cH:5][cH:6][cH:7][n:8][c:14]1[NH2:13]>>[O:1]=[C:2]([OH:3])[c:4]1[cH:5][cH:6][cH:7][n:8]2[c:9](=[O:10])[c:11]3[c:12]([n:13][c:14]12)[CH2:15][CH2:16][CH2:17]3,[N:4]-[c:5]:[n:6].C-C-O-[C:1](=O)-[C:2]-[C:3]=O>>O=[c:1]1:[c:2]:[c:3]:[n:4]:[c:5]:[n:6]:1
8045,CC(=O)OC(C)=O.O=[CH:7][c:6]1[cH:5][cH:4][c:3]([O:2][CH3:1])[cH:16][cH:15]1.[CH3:8][c:9]1[cH:10][cH:11][n:12][cH:13][cH:14]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH:7]=[CH:8][c:9]2[cH:10][cH:11][n:12][cH:13][cH:14]2)[cH:15][cH:16]1,[C:2]-c.O=[C:1]>>[C:1]=[C:2]-c
10266,CCO.[ClH:1].c1ccc(C[O:17][c:16]2[cH:15][c:14]3[c:21]([cH:20][c:18]2[O:19]Cc2ccccc2)[C:10]([CH2:9][S:8][c:7]2[n:3]([CH3:2])[n:4][n:5][n:6]2)=[N:11][CH2:12][CH2:13]3)cc1>>[CH3:2][n:3]1[n:4][n:5][n:6][c:7]1[S:8][CH2:9][C:10]1=[N:11][CH2:12][CH2:13][c:14]2[cH:15][c:16]([OH:17])[c:18]([OH:19])[cH:20][c:21]21.[ClH:1],C(-[O:1]-c:c-[O:2]-C-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1>>[O:1]-c:c-[O:2]
12617,ClP(Cl)(Cl)(Cl)[Cl:17].O[C:15]([c:14]1[c:9]([C:7]([O:6][O:5][C:2]([CH3:1])([CH3:3])[CH3:4])=[O:8])[cH:10][cH:11][cH:12][cH:13]1)=[O:16].c1ccccc1>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][O:6][C:7](=[O:8])[c:9]1[cH:10][cH:11][cH:12][cH:13][c:14]1[C:15](=[O:16])[Cl:17],O-[C:1]=O.Cl-P(-Cl)(-Cl)(-Cl)-[Cl:2]>>O=[C:1]-[Cl:2]
14128,[C:14](=[O:15])=[N:16][S:17](=[O:18])(=[O:19])[c:20]1[cH:21][cH:22][c:23]([CH3:24])[cH:25][cH:26]1.[CH3:1][C:2](=[O:3])[CH2:4][C:5](=[O:6])[CH2:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1.c1ccccc1>>[CH3:1][C:2](=[O:3])[CH:4]([C:5](=[O:6])[CH2:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)[C:14](=[O:15])[NH:16][S:17](=[O:18])(=[O:19])[c:20]1[cH:21][cH:22][c:23]([CH3:24])[cH:25][cH:26]1,O=[C:2]=[N:3].O=C-[C:1]-C=O>>O=C-[C:1](-C=O)-[C:2](=O)-[N:3]
