data_idx,mapped_rxn,template
1646,CCN(CC)CC.CN(C)C=O.Cl.O=[N+]([O-])c1ccc(O[C:22](=[O:23])[C@H:24]([CH2:25][CH2:26][C:27]([NH2:28])=[O:29])[NH:30][C:31](=[O:32])[O:33][CH2:34][c:35]2[cH:36][cH:37][cH:38][cH:39][cH:40]2)cc1.[CH3:1][O:2][C:3](=[O:4])[C@H:5]([CH2:6][c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1)[NH:13][C:14](=[O:15])[C@H:16]([CH2:17][C:18]([NH2:19])=[O:20])[NH2:21]>>[CH3:1][O:2][C:3](=[O:4])[C@H:5]([CH2:6][c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1)[NH:13][C:14](=[O:15])[C@H:16]([CH2:17][C:18]([NH2:19])=[O:20])[NH:21][C:22](=[O:23])[C@H:24]([CH2:25][CH2:26][C:27]([NH2:28])=[O:29])[NH:30][C:31](=[O:32])[O:33][CH2:34][c:35]1[cH:36][cH:37][cH:38][cH:39][cH:40]1,[N:2].O=[C:1]-O-c1:c:c:c(-[N+](=O)-[O-]):c:c:1>>O=[C:1]-[N:2]
1850,CCO.[BH4-].[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][C:6](=[O:7])[CH:8]=[CH:9][CH:10]1[CH2:11][CH:12]([CH3:13])[C:14](=[O:15])[CH:16]1[CH2:17][CH2:18][CH2:19][CH2:20][CH2:21][CH2:22][C:23](=[O:24])[OH:25].[Na+].[Na+].[OH-]>>[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH:6]([OH:7])[CH:8]=[CH:9][CH:10]1[CH2:11][CH:12]([CH3:13])[CH:14]([OH:15])[CH:16]1[CH2:17][CH2:18][CH2:19][CH2:20][CH2:21][CH2:22][C:23](=[O:24])[OH:25],[C:1]=[O:2].[C:3]=[O:4]>>[C:1]-[O:2].[C:3]-[O:4]
2941,CCO.O=[C:6]([CH2:7][C:8]([O:10][CH2:11][CH3:12])=[O:9])[C:4](=[O:5])[O:3][CH2:2][CH3:1].O=[CH:13][c:14]1[cH:15][cH:16][cH:17][c:18]2[cH:19][cH:20][cH:21][cH:22][c:23]12.[CH:24](\[C:25](=[O:26])[O:27][CH2:28][CH3:29])=[C:30](/[CH3:31])[NH2:32]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6]1=[C:7]([C:8](=[O:9])[O:10][CH2:11][CH3:12])[CH:13]([c:14]2[cH:15][cH:16][cH:17][c:18]3[cH:19][cH:20][cH:21][cH:22][c:23]23)[C:24]([C:25](=[O:26])[O:27][CH2:28][CH3:29])=[C:30]([CH3:31])[NH:32]1,O=[C:5].[C:4]=C\[N:3].O=C-[C:1]-[C:2]=O>>O=C-[C:1]1=[C:2]-[N:3]-C=[C:4]-[C:5]-1
3123,O=C[NH:13][CH:12]1[c:6]2[cH:5][c:4]([C:3]#[N:2])[s:8][c:7]2[CH2:9][CH2:10][CH2:11]1.[ClH:1]>>[ClH:1].[N:2]#[C:3][c:4]1[cH:5][c:6]2[c:7]([s:8]1)[CH2:9][CH2:10][CH2:11][CH:12]2[NH2:13],O=C-[N:1]>>[N:1]
3325,Br.C[O:7][c:6]1[cH:5][c:4]2[o:3][c:2](=[O:1])[c:13]3[c:12]([c:11]2[cH:10][c:8]1[O:9]C)[CH2:25][CH2:24][N:15]([CH2:16][CH2:17][N:18]1[CH2:19][CH2:20][CH2:21][CH2:22][CH2:23]1)[CH2:14]3.O>>[O:1]=[c:2]1[o:3][c:4]2[cH:5][c:6]([OH:7])[c:8]([OH:9])[cH:10][c:11]2[c:12]2[c:13]1[CH2:14][N:15]([CH2:16][CH2:17][N:18]1[CH2:19][CH2:20][CH2:21][CH2:22][CH2:23]1)[CH2:24][CH2:25]2,C-[O:1]-c:c-[O:2]-C>>[O:1]-c:c-[O:2]
3948,CCO.O.O=C([O-])[O-].[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[c:7]([CH2:8][C:9]#[N:10])[n:13][o:14][c:15]2[cH:16]1.[ClH:17].[NH2:11][OH:12].[Na+].[Na+]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[c:7]([CH2:8][C:9]([NH2:10])=[N:11][OH:12])[n:13][o:14][c:15]2[cH:16]1.[ClH:17],[N:3].[C:2]#[N:1]>>[N:1]-[C:2]=[N:3]
4739,O=[C:10]1[NH:9][c:8]2[c:3]([cH:4][cH:5][cH:6][cH:7]2)[N:2]([CH3:1])[c:16]2[c:12]1[cH:13][s:14][cH:15]2.S=P12SP3(=S)SP(=S)(S1)SP(=[S:11])(S2)S3.c1ccncc1>>[CH3:1][N:2]1[c:3]2[cH:4][cH:5][cH:6][cH:7][c:8]2[NH:9][C:10](=[S:11])[c:12]2[cH:13][s:14][cH:15][c:16]21,O=[C:1].S=P12-S-P3(=S)-S-P(=S)(-S-1)-S-P(=[S:2])(-S-2)-S-3>>[C:1]=[S:2]
5659,CC(=O)O.CC(=O)[O-].O=[CH:6][c:5]1[cH:4][c:3]([O:2][CH3:1])[c:13]([O:14][CH3:15])[c:12]2[c:11]1[CH2:18][CH2:17][CH2:16]2.[CH3:7][N+:8](=[O:9])[O-:10].[NH4+]>>[CH3:1][O:2][c:3]1[cH:4][c:5]([CH:6]=[CH:7][N+:8](=[O:9])[O-:10])[c:11]2[c:12]([c:13]1[O:14][CH3:15])[CH2:16][CH2:17][CH2:18]2,O=[C:2].O=N-[C:1]>>O=N-[C:1]=[C:2]
6319,CN(C)C=O.I[CH3:1].O.[H-].[Na+].[O:2]=[c:3]1[n:4][c:5](-[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[F:12])[c:13]2[c:14]3[c:15]([s:16][c:17]2[nH:18]1)[CH2:19][CH2:20][CH2:21][CH2:22]3>>[CH3:1][O:2][c:3]1[n:4][c:5](-[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[F:12])[c:13]2[c:14]3[c:15]([s:16][c:17]2[n:18]1)[CH2:19][CH2:20][CH2:21][CH2:22]3,I-[C:1].[O:2]=[c:3]>>[C:1]-[O:2]-[c:3]
11676,Cc1ccccc1.O=S(Cl)[Cl:14].O[C:12]([c:11]1[c:6]([CH2:5][CH:3]([C:2]#[N:1])[Cl:4])[cH:7][cH:8][cH:9][cH:10]1)=[O:13]>>[N:1]#[C:2][CH:3]([Cl:4])[CH2:5][c:6]1[cH:7][cH:8][cH:9][cH:10][c:11]1[C:12](=[O:13])[Cl:14],O-[C:1]=O.Cl-S(=O)-[Cl:2]>>O=[C:1]-[Cl:2]
